ITEM,MATERIAL,DESCRIPTION,"Supplier Price
July 2025",Supplier Price Sep 2025,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,,"2x10""-12' SPF#2",$18.50,$18.41,15.00%,,$21.17,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-14' SPF#2",$19.50,$19.39,15.00%,,$22.30,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-16' SPF#2",$20.99,$20.79,15.00%,,$23.91,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-18' SPF#2",$22.99,$23.71,15.00%,,$27.27,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-20' SPF#2",$27.50,$26.95,15.00%,,$30.99,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-8' SPF#2",$13.50,$14.50,15.00%,,$16.68,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-10' SPF#2",$18.89,$20.99,15.00%,,$24.14,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-12' SPF#2",$25.50,$25.89,15.00%,,$29.77,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-14' SPF#2",$27.50,$28.99,15.00%,,$33.34,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-16' SPF#2",$38.89,$42.99,15.00%,,$49.44,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-18' SPF#2",$39.50,$43.99,15.00%,,$50.59,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-20' SPF#2",$45.50,$50.99,15.00%,,$58.64,pcs,Builders First Source BFS Group LLC,SPF Lumber,
Douglas-Fir / Hem-Fir,,"2x10""-22' DF/HF",$0.00,$41.50,20.00%,,$49.80,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x10""-24' DF/HF",$0.00,$45.50,20.00%,,$54.60,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x10""-26' DF/HF",$0.00,$67.99,20.00%,,$81.59,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x10""-28' DF/HF",$0.00,$96.69,20.00%,,$116.03,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x12""-22' DF/HF",$0.00,$60.99,20.00%,,$73.19,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x12""-24' DF/HF",$0.00,$65.50,20.00%,,$78.60,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x12""-26' DF/HF",$0.00,$149.50,20.00%,,$179.40,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x12""-28' DF/HF",$0.00,$149.50,20.00%,,$179.40,pcs,Builders First Source BFS Group LLC,DF/HF,
PRESSURE TREATED LUMBER,,"2x4""-8' PT",$6.29,$5.99,15.00%,,$6.89,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x4""-10' PT",$7.29,$7.29,15.00%,,$8.38,pcs,Builders First Source BFS Group LLC,PT Lumber,
