,,,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES,LINK,TIMESTAMP
,,,HU216-2 Galvanized,-,$48.14,30.00%,,$62.58,pcs,Fastener Plus,Hanger,,Simpson HU216-2 Double 2x16 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU216-3 Galvanized,-,$58.44,30.00%,,$75.97,pcs,Fastener Plus,Hanger,,Simpson HU216-3 Triple 2x16 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU26 Galvanized,-,$8.12,30.00%,,$10.56,pcs,Fastener Plus,Hanger,,Simpson HU26 2x6 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU26-2 Galvanized,-,$16.81,30.00%,,$21.85,pcs,Fastener Plus,Hanger,,Simpson HU26-2 Double 2x6 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU26-3 Galvanized,-,$23.99,30.00%,,$31.19,pcs,Fastener Plus,Hanger,,Simpson HU26-3 Triple 2x6 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU28 Galvanized,-,$8.36,30.00%,,$10.87,pcs,Fastener Plus,Hanger,,Simpson HU28 2x8 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU28-2 Galvanized,-,$19.90,30.00%,,$25.87,pcs,Fastener Plus,Hanger,,Simpson HU28-2 Double 2x8 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU28-4 Galvanized,-,$39.94,30.00%,,$51.92,pcs,Fastener Plus,Hanger,,Simpson HU28-4 Quad 2x8 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HUC210-2 Galvanized,-,$21.55,30.00%,,$28.02,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC210-2 Double 2x10 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUC210-3 Galvanized,-,$35.96,30.00%,,$46.75,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC210-3 Triple 2x10 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUC210-4 Galvanized,-,$42.15,30.00%,,$54.80,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC210-4 Quadruple 2x10 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUC212-2 Galvanized,-,$25.72,30.00%,,$33.44,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC212-2 Double 2x12 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUC212-3 Galvanized,-,$51.62,30.00%,,$67.11,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC212-3 Triple 2x12 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUC26-2 Galvanized,-,$16.81,30.00%,,$21.85,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC26-2 Double 2x6 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUC26-3 Galvanized,-,$23.74,30.00%,,$30.86,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC26-3 Triple 2x6 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUC28-2 Galvanized,-,$19.19,30.00%,,$24.95,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC28-2 Double 2x8 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUC28-4 Galvanized,-,$41.67,30.00%,,$54.17,pcs,Fastener Plus,Concealed Hanger,,Simpson HUC28-4 Quadruple 2x8 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUCQ1.81/11 Galvanized,-,$45.31,30.00%,,$58.90,pcs,Fastener Plus,I-Joist Hanger,,Simpson HUCQ1.81/11-SDS Heavy Face Mount I-Joist Hanger W/SDS Screws- G90 Galvanized,6/2/2025
,,,HUCQ412-SDS Galvanized,,$53.58,30.00%,,$69.65,pcs,Fastener Plus,Hanger,,Simpson HUCQ412-SDS 4x12 Concealed Flange Heavy hanger w/SDS Screws - G90 Galvanized,6/2/2025
,,,HUCQ612-SDS Galvanized,,$53.83,30.00%,,$69.98,pcs,Fastener Plus,Hanger,,Simpson HUCQ612-SDS 6x12 Concealed Flange Heavy hanger w/SDS Screws - G90 Galvanized,6/2/2025
,,,HUCQ612Z-SDS Galvanized,,$89.22,30.00%,,$115.99,pcs,Fastener Plus,Hanger,,Simpson HUCQ612Z-SDSG 6x12 Concealed Flange Heavy hanger w/SDS Screws - Zmax Finish,6/2/2025
,,,HUC44 Galvanized,,$9.32,30.00%,,$12.12,pcs,Fastener Plus,Hanger,,Simpson HUC44 4x4 Concealed Flange Heavy Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HU9 Galvanized,,$17.35,30.00%,,$22.56,pcs,Fastener Plus,Hanger,,Simpson HU9 Face Mount I-Joist Hanger- G90 Galvanized – Fasteners Plus,6/2/2025
,,,HUS1.81/10 Galvanized,-,$12.58,30.00%,,$16.35,pcs,Fastener Plus,Hanger,,Simpson HUS18110 Face Mount IJoist Hanger G90 Galvanized,6/2/2025
,,,HUS210 Galvanized,-,$7.25,30.00%,,$9.43,pcs,Fastener Plus,Hanger,,Simpson HUS210 2x10 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUS212-2 Galvanized,-,$16.81,30.00%,,$21.85,pcs,Fastener Plus,Hanger,,Simpson HUS212-2 Double 2x12 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUS26 Galvanized,-,$3.77,30.00%,,$4.90,pcs,Fastener Plus,Hanger,,Simpson HUS26 2x6 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUS26-2 Galvanized,-,$10.43,30.00%,,$13.56,pcs,Fastener Plus,Hanger,,Simpson HUS26-2 Double 2x6 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUS28 Galvanized,-,$5.28,30.00%,,$6.86,pcs,Fastener Plus,Hanger,,Simpson HUS28 2x8 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUS28-2 Galvanized,-,$10.11,30.00%,,$13.14,pcs,Fastener Plus,Hanger,,Simpson HUS28-2 Double 2x8 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,HUS412 Galvanized,-,$13.17,30.00%,,$17.12,pcs,Fastener Plus,Hanger,Not Zmax pieces are discontinued / Adjustable Rafter Hanger,Simpson HUS412 4x12 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LRU26Z Zmax,-,$5.76,30.00%,,$7.49,pcs,Fastener Plus,Slopeable hanger,,Simpson LRU26Z Light Rafter U Hanger - Slopeable 2x6 - Zmax Finish,6/2/2025
,,,LRU28Z Zmax,-,$9.08,30.00%,,$11.80,pcs,Fastener Plus,Slopeable hanger,,Simpson LRU28Z Light Rafter U Hanger - Slopeable 2x8 - Zmax Finish – Fasteners Plus,6/2/2025
,,,LRU210Z Zmax,-,$9.44,30.00%,,$12.27,pcs,Fastener Plus,Slopeable hanger,,Simpson LRU210Z Light Rafter U Hanger - Slopeable 2x10 - Zmax Finish,6/2/2025
,,,LRU212Z Zmax,-,$13.06,30.00%,,$16.98,pcs,Fastener Plus,Slopeable hanger,,Simpson LRU212Z Light Rafter U Hanger - Slopeable 2x12 - Zmax Finish – Fasteners Plus,6/2/2025
,,,LSCZ Galvanized,-,$2.89,30.00%,,$3.76,pcs,Fastener Plus,Slopeable hanger,,Simpson LSCZ Adjustable Stair-Stringer Connector- Zmax Finish – Fasteners Plus,6/2/2025
,,,LSSJ210LZ Zmax,-,$16.85,30.00%,,$21.91,pcs,Fastener Plus,Slopeable left hanger,,Simpson LSSJ210LZ Left Side Field Adjustable Jack Hanger -Zmax Finish,6/2/2025
,,,LSSJ210RZ Zmax,-,$16.85,30.00%,,$21.91,pcs,Fastener Plus,Slopeable right hanger,,Simpson LSSJ210RZ Right Side Field Adjustable Jack Hanger -Zmax Finish,6/2/2025
,,,LSSJ26LZ Zmax,-,$7.70,30.00%,,$10.01,pcs,Fastener Plus,Slopeable left hanger,,Simpson LSSJ26LZ Left Side Field Adjustable Jack Hanger -Zmax Finish,6/2/2025
,,,LSSJ26RZ Zmax,-,$7.70,30.00%,,$10.01,pcs,Fastener Plus,Slopeable right hanger,,Simpson LSSJ26RZ Right Side Field Adjustable Jack Hanger -Zmax Finish,6/2/2025
,,,LSSJ28LZ Zmax,-,$16.44,30.00%,,$21.37,pcs,Fastener Plus,Slopeable left hanger,,Simpson LSSJ28LZ Left Side Field Adjustable Jack Hanger -Zmax Finish,6/2/2025
,,,LSSJ28RZ Zmax,-,$16.44,30.00%,,$21.37,pcs,Fastener Plus,Slopeable right hanger,,Simpson LSSJ28RZ Right Side Field Adjustable Jack Hanger -Zmax Finish,6/2/2025
,,,LSSR1.81Z Zmax,-,$18.25,30.00%,,$23.73,pcs,Fastener Plus,Slopeable/Skewable Hanger,,Simpson LSSR1.81Z Field Adjustable Rafter Hanger - Zmax Finish,9/3/2025
,,,LSSR2.1Z Zmax,-,$19.09,30.00%,,$24.82,pcs,Fastener Plus,Slopeable/Skewable Hanger,,Simpson LSSR2.1Z Field Adjustable Rafter Hanger - Zmax Finish,6/2/2025
,,,LSSR2.3Z Zmax,-,$18.47,30.00%,,$24.01,pcs,Fastener Plus,Slopeable/Skewable Hanger,,Simpson LSSR2.37Z Field Adjustable Rafter Hanger - Zmax Finish,6/2/2025
,,,LSSR2.56Z Zmax,-,$22.14,30.00%,,$28.78,pcs,Fastener Plus,Slopeable/Skewable Hanger,,Simpson LSSR2.56Z Field Adjustable Rafter Hanger - Zmax Finish,6/2/2025
,,,LSSR210-2Z Zmax,-,$24.54,30.00%,,$31.90,pcs,Fastener Plus,Slopeable/Skewable Hanger,,Simpson LSSR210-2Z Double 2x10 Field Adjustable Rafter Hanger - Zmax Finish,6/2/2025
,,,LSSR210Z Zmax,-,$18.41,30.00%,,$23.93,pcs,Fastener Plus,Slopeable/Skewable Hanger,,Simpson LSSR210Z Field Adjustable Rafter Hanger- ZMAX Finish,6/2/2025
,,,LSSR26Z Zmax,-,$11.06,30.00%,,$14.38,pcs,Fastener Plus,Slopeable/Skewable Hanger,,Simpson LSSR26Z Field Adjustable Rafter Hanger- ZMAX Finish,6/2/2025
,,,LSSR28Z Zmax,-,$17.77,30.00%,,$23.10,pcs,Fastener Plus,Slopeable/Skewable Hanger,,Simpson LSSR28Z Field Adjustable Rafter Hanger- ZMAX Finish,6/2/2025
,,,LSSR410Z Zmax,-,$26.69,30.00%,,$34.70,pcs,Fastener Plus,Slopeable/Skewable Hanger,Face Mount Hanger,Simpson LSSR410Z 4x10 Field Adjustable Rafter Hanger - Zmax Finish,6/2/2025
,,,LU210 Galvanized,-,$1.48,30.00%,,$1.92,pcs,Fastener Plus,Hanger,,"Simpson LU210 2x10 Face Mount Joist Hanger, G90 Galvanized – Fasteners Plus",6/2/2025
,,,LU26 Galvanized,-,$1.32,30.00%,,$1.72,pcs,Fastener Plus,Hanger,,Simpson LUS26 2x6 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LU26-I Galvanized,-,$0.99,30.00%,,$1.29,pcs,Fastener Plus,Hanger,,"Simpson LU26 2x6 Face Mount Joist Hanger, G90 Galvanized – Fasteners Plus",6/2/2025
,,,LU28 Galvanized,-,$1.30,30.00%,,$1.69,pcs,Fastener Plus,Hanger,,"Simpson LU28 2x8 Face Mount Joist Hanger, G90 Galvanized",6/2/2025
,,,LUS24 Galvanized,,$0.98,30.00%,,$1.27,pcs,Fastener Plus,Hanger,,Simpson LUS24 2x4 Face Mount Hanger - G90 Galvanized – Fasteners Plus,6/2/2025
,,,LUS210 Galvanized,-,$1.93,30.00%,,$2.51,pcs,Fastener Plus,Hanger,,Simpson LUS210 2x10 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LUS210-2 Galvanized,-,$3.06,30.00%,,$3.98,pcs,Fastener Plus,Hanger,,Simpson LUS210-2 Double 2x10 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LUS210-3 Galvanized,-,$6.87,30.00%,,$8.93,pcs,Fastener Plus,Hanger,,Simpson LUS210-3 Triple 2x10 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LUS26 Galvanized,-,$1.32,30.00%,,$1.72,pcs,Fastener Plus,Hanger,,Simpson LUS26 2x6 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LUS26-3 Galvanized,-,$6.18,30.00%,,$8.03,pcs,Fastener Plus,Hanger,,Simpson LUS26-3 Triple 2x6 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LUS28 Galvanized,-,$1.73,30.00%,,$2.25,pcs,Fastener Plus,Hanger,,Simpson LUS28 2x8 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LUS28-2 Galvanized,-,$2.77,30.00%,,$3.60,pcs,Fastener Plus,Hanger,,Simpson LUS28-2 Double 2x8 Face Mount Hanger - G90 Galvanized,6/2/2025
,,,LUS28-3 Galvanized,-,$6.87,30.00%,,$8.93,pcs,Fastener Plus,Hanger,,Simpson LUS28-3 Triple 2x8 Face Mount Hanger - G90 Galvanized – Fasteners Plus,6/2/2025
,,,LUS28-3Z Zmax,-,$7.99,30.00%,,$10.39,pcs,Fastener Plus,Hanger,,Simpson LUS28-3Z Triple 2x8 Face Mount Hanger - Zmax Finish – Fasteners Plus,6/2/2025
,,,MIU3.56/11 Galvanized,,$19.53,30.00%,,$25.39,pcs,Fastener Plus,Hanger,,Simpson MIU3.56/11 Face Mount I-Joist Hanger - G90 Galvanized,6/2/2025
,,,THA213 Galvanized,-,$6.74,30.00%,,$8.76,pcs,Fastener Plus,Hanger,Adjustable truss hanger,Simpson THA213 2x13 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA218 Galvanized,-,$8.19,30.00%,,$10.65,pcs,Fastener Plus,Hanger,Adjustable I-Joist Hanger,Simpson THA218 2x18 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA218-2 Galvanized,-,$11.61,30.00%,,$15.09,pcs,Fastener Plus,Hanger,,Simpson THA218-2 2x18 DBL Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA222-2 Galvanized,-,$13.00,30.00%,,$16.90,pcs,Fastener Plus,Hanger,,Simpson THA222-2 Double 2x22 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA413 Galvanized,-,$6.52,30.00%,,$8.48,pcs,Fastener Plus,Hanger,,Simpson THA413 4x13 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA418 Galvanized,-,$8.82,30.00%,,$11.47,pcs,Fastener Plus,Hanger,,Simpson THA418 4x18 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA422 Galvanized,-,$6.74,30.00%,,$8.76,pcs,Fastener Plus,Hanger,,Simpson THA422 4x22 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA422-2 Galvanized,-,$47.21,30.00%,,$61.37,pcs,Fastener Plus,Hanger,,Simpson THA422-2 Double 4x22 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA426 Galvanized,-,$19.93,30.00%,,$25.91,pcs,Fastener Plus,Hanger,,Simpson THA426 4x26 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THA426-2 Galvanized,-,$66.99,30.00%,,$87.09,pcs,Fastener Plus,Hanger,Adjustable Truss Hanger,Simpson THA426-2 Double 4x26 Adjustable Truss Hanger - G90 Galvanized,6/2/2025
,,,THAI1.81/22 Galvanized,-,$18.82,30.00%,,$24.47,pcs,Fastener Plus,Hanger,,Simpson THAI1.81/22 Adjustable I-Joist Truss Hanger - G90 Galvanized,6/2/2025
,,,THAI2.06/22 Galvanized,-,$19.20,30.00%,,$24.96,pcs,Fastener Plus,Hanger,,Simpson THAI2.06/22 Adjustable I-Joist Truss Hanger - G90 Galvanized,6/2/2025
,,,THAI2.1/22 Galvanized,-,$20.45,30.00%,,$26.59,pcs,Fastener Plus,Hanger,,Simpson THAI2.1/22 Adjustable I-Joist Truss Hanger - G90 Galvanized,6/2/2025
,,,THAI222 Galvanized,-,$19.05,30.00%,,$24.77,pcs,Fastener Plus,Hanger,,Simpson THAI222 Adjustable I-Joist Truss Hanger - G90 Galvanized,6/2/2025
,,,THAI322 Galvanized,-,$19.19,30.00%,,$24.95,pcs,Fastener Plus,Hanger,,Simpson THAI322 Adjustable I-Joist Truss Hanger - G90 Galvanized,6/2/2025
,,,THAI3522 Galvanized,-,$19.19,30.00%,,$24.95,pcs,Fastener Plus,Hanger,,Simpson THAI3522 Adjustable I-Joist Truss Hanger - G90 Galvanized,6/2/2025
,,,THAI422 Galvanized,-,$19.19,30.00%,,$24.95,pcs,Fastener Plus,Hanger,,Simpson THAI422 Adjustable I-Joist Truss Hanger - G90 Galvanized,6/2/2025
,,,THAI5.13/21 Galvanized,-,$61.00,30.00%,,$79.30,pcs,Fastener Plus,Hanger,,Simpson THAI5.13/21 Adjustable I-Joist Truss Hanger - G90 Galvanized,6/2/2025
,,,U26 Galvanized,-,$2.96,30.00%,,$3.85,pcs,Fastener Plus,Hanger,,Simpson U26 2x6 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,U26-2 Galvanized,-,$5.82,30.00%,,$7.57,pcs,Fastener Plus,Hanger,,Simpson U26-2 Double 2x6 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,U26-3 Galvanized,-,$12.55,30.00%,,$16.32,pcs,Fastener Plus,Hanger,,Simpson U26-3 Triple 2x6 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,IUS2.37/14 Galvanized,-,$6.70,30.00%,,$8.71,pcs,Fastener Plus,I-Joist Hanger,,Simpson IUS2.37/14 Face Mount I-Joist Hanger - G90 Galvanized,6/2/2025
,,,IUS2.56/11.88 Galvanized,-,$5.29,30.00%,,$6.88,pcs,Fastener Plus,I-Joist Hanger,,Simpson IUS2.56/11.88 Face Mount I-Joist Hanger - G90 Galvanized – Fasteners Plus,6/2/2025
,,,IUS3.56/9.5 Galvanized,-,$5.66,30.00%,,$7.36,pcs,Fastener Plus,I-Joist Hanger,,Simpson IUS3.56/9.5 Face Mount I-Joist Hanger - G90 Galvanized – Fasteners Plus,6/2/2025
,,,ITS2.06/11.88 Galvanized,-,$5.11,30.00%,,$6.64,pcs,Fastener Plus,I-Joist Hanger,,Simpson ITS2.06/11.88 Top Flange I-Joist Hanger - G90 Galvanized,6/2/2025
,,,ITS3.56/9.5 Galvanized,-,$7.46,30.00%,,$9.70,pcs,Fastener Plus,I-Joist Hanger,,Simpson ITS3.56/9.5 Top Flange I-Joist Hanger - G90 Galvanized – Fasteners Plus,6/2/2025
,,Ties,DTT2Z Tension Tie Zmax,-,$11.54,30.00%,,$15.00,pcs,Fastener Plus,Deck Tension Tie,,"Simpson DTT2Z Deck Tension Tie W/1.5"" SDS Screws - Zmax Finish",6/2/2025
,,,CMST12x40' Strap/Tension Tie Galvanized,-,$222.37,30.00%,,$289.08,pcs,Fastener Plus,Strap/Tension Tie,,Simpson CMST12 12 Gauge 40 ft. Coiled Strap,6/2/2025
,,,CMSTC16x54' Strap/Tension Tie Galvanized,54',$242.91,30.00%,,$315.78,pcs,Fastener Plus,Strap/Tension Tie,,Simpson CMSTC16 16 Gauge 54 ft. Coiled Strap – Fasteners Plus,6/2/2025
,,,"CS16-16""x150' Strap/Tension Tie Galvanized",-,$196.48,30.00%,,$255.42,pcs,Fastener Plus,Strap/Tension Tie,,Simpson CS16 16 Gauge 150 ft. Coiled Strap – Fasteners Plus,6/2/2025
,,,CS20(250') Galvanized,250',$196.48,30.00%,,$255.42,rolls,Fastener Plus,Strap/Tension Tie,,Simpson CS20 20 Gauge 250 ft. Coiled Strap – Fasteners Plus,6/2/2025
,,,CS20(25') Galvanized,25',$44.10,30.00%,,$57.33,rolls,Fastener Plus,Strap/Tension Tie,,Simpson CS20-R 20 Gauge 25 ft. Coiled Strap – Fasteners Plus,6/2/2025
,,,DSP Stud Plate Tie Galvanized,-,$1.54,30.00%,,$2.00,pcs,Home Depot,,,DSP 18-Gauge Galvanized Double-Stud Plate Tie,
,,,"HTT4_12-3/8"" Strap/Tension Tie Galvanized",-,$24.58,30.00%,,$31.95,pcs,Fastener Plus,Strap/Tension Tie,,"Simpson HTT4 12-3/8"" Tension Tie",6/2/2025
,,,"HTT5-16"" Strap/Tension Tie Galvanized",-,$26.44,30.00%,,$34.37,pcs,Fastener Plus,Strap/Tension Tie,,"Simpson HTT5 16"" Tension Tie – Fasteners Plus",6/2/2025
,,,LTP4 Galvanized,,$0.71,30.00%,,$0.92,pcs,Fastener Plus,Fasteners,,"Simpson LTP4 3"" x 4-1/4"" Lateral Tie Plate - G90 Galvanized – Fasteners Plus",6/2/2025
,,,"LSTA15-15"" Strap/Tension Tie Galvanized",,$1.19,30.00%,,$1.55,pcs,Fastener Plus,Strap/Tension Tie,,"Simpson LSTA15 15"" 20 Gauge Strap Tie - G90 Galvanized",6/2/2025
,,,"LSTA21-21"" Strap/Tension Tie Galvanized",-,$1.59,30.00%,,$2.07,pcs,Fastener Plus,Strap/Tension Tie,,"Simpson LSTA21 21"" 20 Gauge Strap Tie - G90 Galvanized – Fasteners Plus",6/2/2025
,,,"LSTA36-36"" Strap/Tension Tie Galvanized",-,$3.20,30.00%,,$4.16,pcs,Fastener Plus,Strap/Tension Tie,,"Simpson LSTA36 36"" 18 Gauge Strap Tie - G90 Galvanized",6/2/2025
,,,"MSTC28_28-1/4"" Strap/Tension Tie Galvanized",-,$10.93,30.00%,,$14.21,pcs,Fastener Plus,Strap/Tension Tie,,"Simpson MSTC28 28-1/4"" 16 Gauge Medium Strap Tie - G90 Galvanized",6/2/2025
,,,"MTS12-12"" Strap/Tension Tie Galvanized",-,$1.32,30.00%,,$1.72,pcs,Fastener Plus,Strap/Tension Tie,,"Simpson MTS12 12"" Medium Twist Strap - G90 Galvanized",6/2/2025
,,,MSTCM40 Galvanized,"40-1/4""",$17.15,30.00%,,$22.30,pcs,Fastener Plus,Strap/Tension Tie,,"Simpson MSTCM40 40-1/4"" Medium Masonry Strap Tie",6/2/2025
,,,TSP Strap/Tension Tie Galvanized,-,$1.65,30.00%,,$2.15,pcs,Fastener Plus,Strap/Tension Tie,,Simpson TSP Stud Plate Tie - G90 Galvanized,6/2/2025
,,Hurricane Ties,H1A Galvanized,-,$1.16,30.00%,,$1.51,pcs,Fastener Plus,Fasteners,,Simpson H1A Hurricane Tie - G90 Galvanized,6/2/2025
,,,H2A Galvanized,-,$2.10,30.00%,,$2.73,pcs,Fastener Plus,Fasteners,,Simpson H2A Hurricane Tie - G90 Galvanized,6/2/2025
,,,H2.5A Galvanized,-,$0.60,30.00%,,$0.78,pcs,Fastener Plus,Fasteners,,Simpson H2.5A Hurricane Tie - G90 Galvanized,6/2/2025
,,,H2.5T-2s Galvanized,2pcs,$1.28,30.00%,,$1.66,pcs,Fastener Plus,Fasteners,,"Simpson H2.5T Hurricane Tie - G90 Galvanized, Pkg 2",6/2/2025
,,,H3-2s Galvanized,-,$1.50,30.00%,,$1.95,pcs,Fastener Plus,Fasteners,,"Simpson H3 Hurricane Tie - G90 Galvanized, Pkg 2 – Fasteners Plus",6/2/2025
,,,H6-2s Galvanized,2pcs,$12.00,30.00%,,$15.60,pcs,Fastener Plus,Fasteners,,"Simpson H6 Hurricane Tie - G90 Galvanized, Pkg 2",6/2/2025
,,,H8 Galvanized,-,$0.82,30.00%,,$1.07,pcs,Fastener Plus,Fasteners,,Simpson H8 Hurricane Tie - G90 Galvanized,6/2/2025
,,,H10A Galvanized,-,$3.00,30.00%,,$3.90,pcs,Fastener Plus,Fasteners,,Simpson H10A Hurricane Tie - G90 Galvanized,6/2/2025
,,,H10A-2 Galvanized,-,$3.61,30.00%,,$4.69,pcs,Fastener Plus,Fasteners,,Simpson H10A-2 Hurricane Tie - G90 Galvanized,6/2/2025
,,,H10AR Galvanized,-,$4.10,30.00%,,$5.33,pcs,Fastener Plus,Fasteners,,Simpson H10AR Hurricane Tie - G90 Galvanized,6/2/2025
,,,H16 Galvanized,-,$6.32,30.00%,,$8.22,pcs,Fastener Plus,Fasteners,,Simpson H16 Hurricane Tie - G90 Galvanized,6/2/2025
,,,H16-2S Galvanized,-,$7.11,30.00%,,$9.24,pcs,Fastener Plus,Fasteners,,Simpson H16-2S Hurricane Tie - G90 Galvanized,6/2/2025
,,,H16-2 Galvanized,-,$8.18,30.00%,,$10.63,pcs,Fastener Plus,Fasteners,,Simpson H16-2 Hurricane Tie - G90 Galvanized,6/2/2025
,,,HGA10KT-10s Galvanized,10pcs,$111.29,30.00%,,$144.68,pcs,Fastener Plus,Fasteners,Not for treated lumber,"Simpson HGA10KT Hurricane Gusset Angle w/Screws - G90 Galvanized, Pkg 10",6/2/2025
,,,HGA10KTHDG-10s Galvanized,10pcs,$154.99,30.00%,,$201.49,pcs,Fastener Plus,Fasteners,For treated lumber,"Simpson HGA10KTHDG Hurricane Gusset Angle w/Screws - Hot Dip Galvanized, Pkg 10",6/2/2025
,,Nuts,"3/8"" Nut A563 Galvanized",-,$0.07,30.00%,,$0.09,pcs,Fastener Plus,Fasteners,,"3/8""-16 Conquest Grade 2 Hex Nut - Hot Dip Galvanized – Fasteners Plus",6/2/2025
,,,"1/2"" Nut A563 Galvanized",-,$0.38,30.00%,,$0.49,pcs,Fastener Plus,Fasteners,,"1/2""-13 Conquest Heavy Hex Nut, A563 Grade A - Hot Dip Galvanized",6/2/2025
,,,"5/8"" Nut A563 Galvanized",-,$0.61,30.00%,,$0.79,pcs,Fastener Plus,Fasteners,,"5/8""-11 Conquest Heavy Hex Nut, A563 Grade A - Hot Dip Galvanized",6/2/2025
,,,"3/4"" Nut A563 Galvanized",-,$0.83,30.00%,,$1.08,pcs,Fastener Plus,Fasteners,,"3/4""-10 Conquest Heavy Hex Nut, A563 Grade A - Hot Dip Galvanized",6/2/2025
,,,"7/8"" Nut A563 Galvanized",-,$1.27,30.00%,,$1.65,pcs,Fastener Plus,Fasteners,,"7/8""-9 Conquest Heavy Hex Nut, A563 Grade A - Hot Dip Galvanized",6/2/2025
,,,"1"" Nut A563 Galvanized",-,$1.93,30.00%,,$2.51,pcs,Fastener Plus,Fasteners,,"1""-8 Conquest Heavy Hex Nut, A563 Grade A - Hot Dip Galvanized",6/2/2025
,,,"1-1/4"" Nut A563 Galvanized",-,$4.08,30.00%,,$5.30,pcs,Fastener Plus,Fasteners,,"1-1/4""-7 Conquest Heavy Hex Nut, A563 Grade A - Hot Dip Galvanized",6/2/2025
,,,"1-1/2"" Nut A563 Galvanized",-,$7.22,30.00%,,$9.39,pcs,Fastener Plus,Fasteners,,"1-1/2""-6 Conquest Heavy Hex Nut, A563 Grade A - Hot Dip Galvanized",6/2/2025
,,Washers,"1/4"" Washer Flat Galvanized",-,$0.10,30.00%,,$0.13,pcs,Fastener Plus,Fasteners,,"1/4"" Conquest USS Flat Washer - Hot Dip Galvanized",6/2/2025
,,,"5/16"" Washer Flat Galvanized",-,$0.11,30.00%,,$0.14,pcs,Fastener Plus,Fasteners,,"5/16"" Conquest USS Flat Washer - Hot Dip Galvanized",6/2/2025
,,,"3/8"" Washer Flat Galvanized",-,$0.15,30.00%,,$0.20,pcs,Fastener Plus,Fasteners,,"3/8"" Conquest USS Flat Washer - Hot Dip Galvanized",6/2/2025
,,,"1/2"" Washer Flat Galvanized",-,$0.25,30.00%,,$0.33,pcs,Fastener Plus,Fasteners,,"1/2"" Conquest USS Flat Washer - Hot-Dip Galvanized",6/2/2025
