,,,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES,LINK,TIMESTAMP
,,,"2x10""-14' SPF#2",-,$15.57,28.00%,,$19.93,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x10""-16' SPF#2",-,$17.00,25.00%,,$21.25,pcs,Fairway Lumber,SPF Lumber,,,
,,,"2x10""-18' SPF#2",-,$19.12,28.00%,,$24.48,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x10""-20' SPF#2",-,$21.25,28.00%,,$27.20,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x12""-8' SPF#2",-,$12.78,28.00%,,$16.36,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x12""-10' SPF#2",-,$15.98,28.00%,,$20.45,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x12""-12' SPF#2",-,$19.18,25.00%,,$23.97,pcs,Fairway Lumber,SPF Lumber,,,
,,,"2x12""-14' SPF#2",-,$22.37,28.00%,,$28.64,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x12""-16' SPF#2",-,$25.57,25.00%,,$31.96,pcs,Fairway Lumber,SPF Lumber,,,
,,,"2x12""-18' SPF#2",-,$35.96,28.00%,,$46.03,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x12""-20' SPF#2",-,$39.96,28.00%,,$51.15,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,PRESSURE TREATED LUMBER,PT 2x-4x-6x,"2x4""-8' PT",-,$4.18,28.00%,,$5.35,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x4""-10' PT",-,$5.11,28.00%,,$6.55,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x4""-12' PT",-,$6.10,28.00%,,$7.81,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x4""-14' PT",-,$7.68,28.00%,,$9.83,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x4""-16' PT",-,$8.78,28.00%,,$11.24,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x6""-8' PT",-,$5.86,28.00%,,$7.51,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x6""-10' PT",-,$7.51,28.00%,,$9.61,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x6""-12' PT",-,$9.25,28.00%,,$11.84,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x6""-14' PT",-,$10.35,28.00%,,$13.24,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x6""-16' PT",-,$12.16,28.00%,,$15.56,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x8""-8' PT",-,$8.25,28.00%,,$10.55,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x8""-10' PT",-,$9.99,28.00%,,$12.79,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x8""-12' PT",-,$12.42,28.00%,,$15.89,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x8""-14' PT",-,$13.56,28.00%,,$17.35,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x8""-16' PT",-,$15.68,28.00%,,$20.07,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x10""-8' PT",-,$9.72,28.00%,,$12.44,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x10""-10' PT",-,$12.50,28.00%,,$16.00,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x10""-12' PT",-,$15.80,28.00%,,$20.22,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x10""-14' PT",-,$18.41,28.00%,,$23.56,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x10""-16' PT",-,$20.72,28.00%,,$26.52,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x12""-8' PT",-,$13.42,28.00%,,$17.18,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x12""-10' PT",-,$16.46,28.00%,,$21.07,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x12""-12' PT",-,$19.92,28.00%,,$25.50,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x12""-14' PT",-,$26.29,28.00%,,$33.65,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"2x12""-16' PT",-,$25.60,28.00%,,$32.77,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"4x4""-8' PT",-,$14.38,28.00%,,$18.41,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"4x4""-10' PT",-,$18.22,28.00%,,$23.32,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"4x4""-12' PT",-,$20.54,28.00%,,$26.30,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"4x4""-14' PT",-,$27.86,28.00%,,$35.66,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"4x4""-16' PT",-,$29.22,28.00%,,$37.40,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
,,,"4x8""-12' PT",-,$30.64,28.00%,,$39.22,pcs,Gillies & Prittie Warehouse,PT Lumber,,,
