,ITEM,MATERIAL,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,,,"5-1/4x9-1/2"" LVL",,$27.89,15.00%,,$32.07,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"5-1/4x11-7/8"" LVL",,$36.50,15.00%,,$41.98,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"5-1/4x14"" LVL",,$38.89,15.00%,,$44.72,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"7x11-7/8"" LVL",,$40.99,15.00%,,$47.14,lf,Builders First Source BFS Group LLC,LVL Lumber,
,VERSA COLUMN / 1.8E PSL COLUMNS,PSL Columns,"3-1/2x3-1/2"" Versa Column",,$7.50,15.00%,,$8.63,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,,"3-1/2x5-1/4"" Versa Column",,$10.99,15.00%,,$12.64,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,,"3-1/2x7"" Versa Column",,$12.69,15.00%,,$14.59,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,,"5-1/4x5-1/4"" Versa Column",,$15.89,15.00%,,$18.27,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,,"5-1/4x7"" Versa Column",,$19.99,15.00%,,$22.99,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,,"7x7"" Versa Column",,$39.99,15.00%,,$45.99,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,PWT,"2-1/2x9-1/2"" PWI 32S",,$4.19,15.00%,,$4.82,lf,Builders First Source BFS Group LLC,I-Joists,https://iwpllc.com/wp-content/uploads/2023/01/PWT-Residential-User-Guide-2022-12-12.pdf
,,,"2-1/2x11-7/8"" PWI 32S",,$4.19,15.00%,,$4.82,lf,Builders First Source BFS Group LLC,I-Joists,
,,,"2-1/2x14"" PWI 32S",,$5.19,15.00%,,$5.97,lf,Builders First Source BFS Group LLC,I-Joists,
,,,"2-1/2x16"" PWI 32S",,$5.29,15.00%,,$6.08,lf,Builders First Source BFS Group LLC,I-Joists,
,,,"3-1/2x9.5"" PWI 42S",,$4.50,15.00%,,$5.18,lf,Builders First Source BFS Group LLC,I-Joists,
,,,"3-1/2x12"" PWI 42S",,$5.29,15.00%,,$6.08,lf,Builders First Source BFS Group LLC,I-Joists,
,,,"3-1/2x14"" PWI 42S",,$5.50,15.00%,,$6.33,lf,Builders First Source BFS Group LLC,I-Joists,
,,,"3-1/2x16"" PWI 42S",,$6.50,15.00%,,$7.48,lf,Builders First Source BFS Group LLC,I-Joists,
,MISCELLANEOUS,Foam seal,"3-1/2""x50' FoamSeal",,$5.19,15.00%,,$5.97,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,"5-1/2""x50' FoamSeal",,$4.89,15.00%,,$5.62,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,"7-1/2""x50'-6rolls FoamSeal",,$15.95,15.00%,,$18.34,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,Wrap,3'x165' Housewrap TYVEK,,$118.69,15.00%,,$136.49,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,10'x125' Housewrap TYVEK - Commercial Wrap,,$498.58,15.00%,,$573.37,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,9'x150' Housewrap TYVEK,,$228.00,15.00%,,$262.20,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,9'x100' Housewrap TYVEK,,$85.10,15.00%,,$97.87,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,9'x100' Housewrap BARRICADE,,$101.69,15.00%,,$116.94,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,"2""x165' Housewrap BARRICADE",,$20.59,15.00%,,$23.68,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,"2""x165' Tape BARRICADE",,$19.57,15.00%,,$22.51,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,"2""x55' Tape TYVEK",,$19.99,15.00%,,$22.99,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,"6""x75' Flashing Tape TYVEK",,$86.70,15.00%,,$99.71,packs,Builders First Source BFS Group LLC,Miscelaneous,
,,,"6""x75' Grace Window Wrap",,$35.76,15.00%,,$41.12,packs,Builders First Source BFS Group LLC,Miscelaneous,
,,,"3-3/4""x90' ZIP Flashing Tape",,$32.91,15.00%,,$37.85,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,"6""x75' ZIP Tape",,$56.93,15.00%,,$65.47,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,,"6""x75' ZIP Stretch Tape",,$220.58,15.00%,,$253.67,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,Adhesive,28oz-ea Construction Adhesive,,$5.29,15.00%,,$6.08,tubs,Builders First Source BFS Group LLC,Miscelaneous,
,,Epoxy,8.5oz-ea Epoxy Anchor,,$36.96,15.00%,,$42.50,tubs,Builders First Source BFS Group LLC,Miscelaneous,
,,,LUS28 Galvanized,,$2.65,15.00%,,$3.05,pcs,Builders First Source BFS Group LLC,Hanger,
,,,LPC6Z Post Cap Zmax,,$8.50,15.00%,,$9.78,pcs,Builders First Source BFS Group LLC,Fasteners,
,LALLY COLUMNS,Concrete Column,"3-1/2""x10' Concrete column w/2plates",,$88.65,15.00%,,$101.95,pcs,Builders First Source BFS Group LLC,Lally Column,
,,,"3-1/2""x12' Concrete column w/2plates",,$104.44,15.00%,,$120.11,pcs,Builders First Source BFS Group LLC,Lally Column,
,,,"4""x10' Concrete column w/2plates",,$109.23,15.00%,,$125.61,pcs,Builders First Source BFS Group LLC,Lally Column,
,,,"4""x12' Concrete column w/2plates",,$129.12,15.00%,,$148.49,pcs,Builders First Source BFS Group LLC,Lally Column,
,,,"2x4""-8' Douglas Fir #2",,$4.69,15.00%,,$5.39,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x4""-10' Douglas Fir #2",,$6.19,15.00%,,$7.12,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x4""-12' Douglas Fir #2",,$7.89,15.00%,,$9.07,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x4""-14' Douglas Fir #2",,$9.19,15.00%,,$10.57,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x4""-16' Douglas Fir #2",,$11.69,15.00%,,$13.44,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x4""-20' Douglas Fir #2",,$20.99,15.00%,,$24.14,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x6""-8' Douglas Fir #2",,$6.89,15.00%,,$7.92,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x6""-10' Douglas Fir #2",,$8.99,15.00%,,$10.34,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x6""-12' Douglas Fir #2",,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x6""-14' Douglas Fir #2",,$12.69,15.00%,,$14.59,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x6""-16' Douglas Fir #2",,$16.89,15.00%,,$19.42,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x6""-20' Douglas Fir #2",,$22.50,15.00%,,$25.88,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x8""-8' Douglas Fir #2",,$8.29,15.00%,,$9.53,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x8""-10' Douglas Fir #2",,$9.89,15.00%,,$11.37,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x8""-12' Douglas Fir #2",,$12.89,15.00%,,$14.82,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x8""-14' Douglas Fir #2",,$15.50,15.00%,,$17.83,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x8""-16' Douglas Fir #2",,$21.50,15.00%,,$24.73,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x8""-24' Douglas Fir #2",,$46.50,15.00%,,$53.48,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x10""-8' Douglas Fir #2",,$11.69,15.00%,,$13.44,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x10""-10' Douglas Fir #2",,$16.50,15.00%,,$18.98,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x10""-12' Douglas Fir #2",,$22.89,15.00%,,$26.32,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x10""-14' Douglas Fir #2",,$29.50,15.00%,,$33.93,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x10""-16' Douglas Fir #2",,$24.50,15.00%,,$28.18,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x12""-8' Douglas Fir #2",,$12.50,15.00%,,$14.38,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x12""-10' Douglas Fir #2",,$19.69,15.00%,,$22.64,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x12""-12' Douglas Fir #2",,$24.69,15.00%,,$28.39,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x12""-14' Douglas Fir #2",,$28.69,15.00%,,$32.99,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,,"2x12""-16' Douglas Fir #2",,$36.69,15.00%,,$42.19,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,LSL / LVL STUD 2x,"2x4""-8' LSL/LVL Stud",,$17.52,15.00%,,$20.15,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x4""-10' LSL/LVL Stud",,$21.90,15.00%,,$25.19,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x4""-12' LSL/LVL Stud",,$26.28,15.00%,,$30.22,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x4""-16' LSL/LVL Stud",,$35.04,15.00%,,$40.30,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x4""-20' LSL/LVL Stud",,$43.80,15.00%,,$50.37,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x6""-8' LSL/LVL Stud",,$25.52,15.00%,,$29.35,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x6""-10' LSL/LVL Stud",,$31.90,15.00%,,$36.69,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x6""-12' LSL/LVL Stud",,$38.28,15.00%,,$44.02,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x6""-16' LSL/LVL Stud",,$51.04,15.00%,,$58.70,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x6""-20' LSL/LVL Stud",,$63.80,15.00%,,$73.37,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,"2x6""-24' LSL/LVL Stud",,$76.56,15.00%,,$88.04,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,,12d-Metabo Stick Nails,,$66.96,15.00%,,$77.00,boxes,Builders First Source BFS Group LLC,LVL Lumber,
,,,8d-Metabo Ring Shank Stick Nails,,$93.00,15.00%,,$106.95,boxes,Builders First Source BFS Group LLC,LVL Lumber,
